region,useCard,dCard,income,education,age,age2,dPhone
3,0,0,3.033333333,1,62,3844,1
3,0,0,0,0,62,3844,1
3,3,1,5.2,0,56,3136,1
3,1,1,0,1,25,625,1
3,1,1,2.6,0,65,4225,0
3,1,1,5.2,0,63,3969,0
3,0,0,14.3,0,52,2704,1
6,2,1,0,0,19,361,1
6,0,0,9,1,31,961,1
6,0,0,0,0,60,3600,0
6,1,1,NA,1,38,1444,1
6,0,0,4,0,29,841,1
6,20,1,8,1,29,841,1
6,0,0,12,1,55,3025,1
6,8,1,30,1,36,1296,1
6,0,0,0,0,43,1849,0
6,3,1,5.2,0,24,576,1
6,0,0,20,0,28,784,1
6,0,0,5.633333333,0,24,576,0
6,10,1,18,1,41,1681,1
6,1,1,6,0,25,625,1
6,1,1,0,0,65,4225,0
6,4,1,18,1,36,1296,1
6,1,1,9,1,45,2025,1
6,0,0,4,1,24,576,1
6,0,0,1.083333333,0,65,4225,1
6,2,1,0,1,18,324,1
6,1,1,2.4,0,20,400,1
6,0,0,0.346666667,0,25,625,1
6,0,0,0,0,42,1764,1
6,0,0,4.55,0,22,484,0
6,1,1,0,0,49,2401,1
6,1,1,4.333333333,0,18,324,1
6,0,0,0,0,48,2304,0
6,0,0,9.6,0,36,1296,1
6,0,0,5,1,22,484,1
6,0,0,0,1,41,1681,1
6,0,0,1.733333333,0,38,1444,1
6,0,0,0,0,28,784,1
6,0,0,3.12,0,21,441,1
6,0,0,10.2,1,28,784,1
6,0,0,2.6,0,28,784,1
6,0,0,15,1,43,1849,1
6,0,0,3.466666667,0,49,2401,1
6,0,0,0,0,35,1225,1
6,0,0,0,0,27,729,1
6,0,0,6.5,0,26,676,1
6,0,0,6.5,0,29,841,1
6,1,1,6.5,0,38,1444,1
6,2,1,4.333333333,0,34,1156,1
6,3,1,1.69,0,40,1600,1
6,0,0,0.433333333,0,37,1369,0
6,0,0,1.5,0,51,2601,1
6,0,0,5,1,24,576,1
6,0,0,4.333333333,0,22,484,1
6,2,1,0,0,40,1600,1
6,0,0,0,0,37,1369,0
6,0,0,0,0,21,441,1
6,2,1,2.166666667,0,50,2500,0
1,10,1,20,1,35,1225,1
1,15,1,40,1,61,3721,1
1,2,1,16,1,52,2704,1
1,2,1,NA,1,65,4225,1
1,2,1,8.666666667,0,22,484,1
1,5,1,7.366666667,0,49,2401,1
1,2,1,12,1,68,4624,1
1,15,1,20,1,60,3600,1
1,5,1,40,1,60,3600,1
1,2,1,10,0,42,1764,1
